drug_name,reaction_name,count
ACLASTA,Pain in extremity,1
ACLASTA,Pyrexia,1
ACLASTA,Respiratory failure,1
ACLASTA,Thrombosis,1
ACLASTA,Underdose,1
ACLASTA/ZOLEDRONATE,Bone density decreased,1
ADCIRCA,Drug hypersensitivity,1
ZETIA,Hypersensitivity,1
ZETIA,Pain,1
CITALOPRAM (UNKNOWN),Hyponatraemia,1
CITALOPRAM ORAL SOLUTION,Drug abuse,1
CITALOPRAM ORAL SOLUTION,Overdose,1
CITALOPRAM ORAL SOLUTION,Sopor,1
CLARITIN CHEWABLE TABLETS,Accidental exposure to product by child,1
CLARITIN CHEWABLE TABLETS,Accidental overdose,1
CLARITIN CHEWABLE TABLETS,Inappropriate schedule of drug administration,1
CLINDAMYCIN,Bone marrow failure,1
CLINDAMYCIN,Cough,1
CLINDAMYCIN,Leukopenia,1
CLINDAMYCIN,Lymphadenopathy,1
CLINDAMYCIN,Neutropenia,1
CLINDAMYCIN,Odynophagia,1
CICLOSPORIN,Pulmonary veno-occlusive disease,1
CICLOSPORIN,Respiratory distress,1
YAZ,Jugular vein thrombosis,1
CLINDAMYCIN,Productive cough,1
CLINDAMYCIN,Purulent discharge,1
CLINDAMYCIN,Pyrexia,1
CLINDAMYCIN,Thrombocytopenia,1
CLINDAMYCIN,Tonsillar hypertrophy,1
CLINDAMYCIN,Tonsillitis,1
CLOZAPINE,Anaemia,1
CLOZAPINE,Drug ineffective,1
CLOZAPINE,Ear pain,1
CLOZAPINE,Inflammation,1
CLOZAPINE,Leukocytosis,1
CLOZAPINE,Odynophagia,1
CLOZAPINE,Oedema,1
CLOZAPINE,Parotid gland enlargement,1
CITALOPRAM,Panic attack,1
CITALOPRAM,Thrombocytopenia,1
CERTICAN,Dyspnoea,1
CLOZAPINE,Schizoaffective disorder bipolar type,1
CLOZAPINE,Tachycardia,1
CLOZARIL,Abnormal behaviour,1
CLOZARIL,Abscess bacterial,1
CLOZARIL,Atrial septal defect,1
CLOZARIL,Bundle branch block right,1
CLOZARIL,Bursitis,1
CLOZARIL,Circulatory collapse,1
CLOZARIL,Dyspnoea,1
CLOZARIL,Electrocardiogram abnormal,1
CLOZARIL,Left ventricular dysfunction,1
CLOZARIL,Platelet count decreased,1
CLOZARIL,Pneumonia aspiration,1
CLINDAMYCIN,Pancytopenia,1
CLINDAMYCIN,Pharyngeal erythema,1
CLOZAPINE,Salivary hypersecretion,1
CICLOSPORIN,Therapeutic response decreased,1
CINRYZE (C1 ESTERASE INHIBITOR (HUMAN)),Anxiety,1
CINRYZE (C1 ESTERASE INHIBITOR (HUMAN)),Depression,1
CINRYZE (C1 ESTERASE INHIBITOR (HUMAN)),Hereditary angioedema,1
CINRYZE (C1 ESTERASE INHIBITOR (HUMAN)),Pain in extremity,1
CINRYZE (C1 ESTERASE INHIBITOR (HUMAN)),Panic attack,1
CISPLATIN (UNKNOWN),Neutropenia,1
CITALOPRAM,Anxiety,1
CITALOPRAM,Condition aggravated,1
CITALOPRAM,Depression,1
CITALOPRAM,Haematoma,1
CITALOPRAM,International normalised ratio increased,1
CITALOPRAM,Mental disorder,1
CITALOPRAM,Off label use,1
CERTICAN,Aphthous stomatitis,1
COUMADIN,Migraine,1
CLOZARIL,Sinus tachycardia,1
CLOZARIL,Staphylococcal infection,1
COLCHICINE,Fluid retention,1
COLCHICINE,Oedema peripheral,1
COLCHICINE,Petechiae,1
COLCHICINE,Thrombocytopenia,1
COLCHICINE,Weight increased,1
COMBIVENT,Dysphonia,1
COMETRIQ,Death,1
COMETRIQ,Diarrhoea,1
COMETRIQ,Dysphonia,1
COMETRIQ,Dyspnoea,1
COMETRIQ,Fatigue,1
COMPLERA,Pregnancy,1
CLOZAPINE,Parotitis,1
CYTARABINE,Pneumonia,1
DARUNAVIR,Electrocardiogram QT prolonged,1
DARUNAVIR,Syncope,1
DEPAKINE,Fall,1
COPAXONE,Eye pain,1
COPAXONE,Ocular vascular disorder,1
COPAXONE,Retinal vascular disorder,1
COPAXONE,Teeth brittle,1
COPAXONE,Tooth disorder,1
COPAXONE,Tooth fracture,1
COPAXONE,Tooth loss,1
CORDARONE,Erythema,1
CORDARONE,Pruritus,1
CORICIDIN HBP COLD AND FLU,Condition aggravated,1
CORICIDIN HBP COLD AND FLU,Drug ineffective for unapproved indication,1
CORICIDIN HBP COLD AND FLU,Feeling abnormal,1
DEPAKOTE,Amylase increased,1
DEPAKOTE,Anger,1
DEPAKOTE,Anticonvulsant drug level below therapeutic,1
DEPAKOTE,Atrial fibrillation,1
COUMADIN TABS 2 MG,Anaemia,1
COUMADIN TABS 2 MG,Hypotension,1
COUMADIN TABS 2 MG,Renal failure chronic,1
COUMADIN TABS 2 MG,Subcutaneous haematoma,1
COZAAR,Exposure during pregnancy,1
CRESTOR,Liver disorder,1
CRESTOR,Transaminases increased,1
CUBICIN,Death,1
CUBICIN,Infection,1
CYTARABINE,Acute graft versus host disease,1
CYTARABINE,Cystitis haemorrhagic,1
CYTARABINE,Cytomegalovirus infection,1
DEPAKOTE,Bipolar disorder,1
DEPAKOTE,Blood cholesterol increased,1
DEPAKOTE,Blood glucose increased,1
DEPAKOTE,Body height below normal,1
DEPAKOTE,Bruxism,1
DEPAKOTE,Cautery to nose,1
DEPAKOTE,Chills,1
DEPAKOTE,Clavicle fracture,1
DEPAKOTE,Cleft palate,1
DEPAKOTE,Concussion,1
DEPAKINE,Rhabdomyolysis,1
DEPAKINE,Somnolence,1
DEPAKOTE,Abdominal discomfort,1
DEPAKOTE,Activities of daily living impaired,1
DEPAKOTE,Adverse drug reaction,1
DEPAKOTE,Adverse event,1
CERTICAN,General physical health deterioration,1
CERTICAN,Interstitial lung disease,1
CERTICAN,Oedema,1
CERTICAN,Pleural effusion,1
CHAMPIX,Asthenia,1
CHAMPIX,Dizziness,1
CHAMPIX,Hypertension,1
CHAMPIX,Sinus tachycardia,1
CHANTIX,Abnormal dreams,1
CHANTIX,Insomnia,1
CICLOSPORIN,Drug ineffective,1
CICLOSPORIN,Dyspnoea,1
CICLOSPORIN,Pulmonary alveolar haemorrhage,1
CICLOSPORIN,Pulmonary oedema,1
CEFTRIAXONE,Low birth weight baby,1
DEPAKOTE,Back pain,1
DEPAKOTE,Dyskinesia,1
DEPAKOTE,Dysmorphism,1
DEPAKOTE,Dyspnoea,1
DEPAKOTE,Dysstasia,1
DEPAKOTE,Emotional distress,1
DEPAKOTE,Congenital anomaly,1
DEPAKOTE,Congenital hand malformation,1
