reaction_key,reaction_name
652,Palmar-plantar erythrodysaesthesia syndrome
653,Palpitations
654,Pancreatic carcinoma metastatic
655,Pancreatic disorder
656,Pancreatitis
657,Pancreatitis acute
658,Pancytopenia
659,Panic attack
660,Paraesthesia
661,Paralysis
662,Parkinson^s disease
663,Parkinsonism
664,Parotid gland enlargement
665,Parotitis
666,Paternal drugs affecting foetus
667,Patient-device incompatibility
668,Pericarditis
669,Periodontal operation
670,Peripheral artery thrombosis
671,Peripheral sensory neuropathy
672,Peripheral swelling
673,Peripheral vascular disorder
674,Peripheral venous disease
675,Peritoneal dialysis complication
676,Peritonitis
677,Peritonitis bacterial
678,Petechiae
679,Pharyngeal erythema
680,Pharyngeal oedema
681,Pharyngitis
682,Phlebitis
683,Phobia
684,Plasma cell myeloma
685,Platelet count abnormal
686,Platelet count decreased
687,Platelet count increased
688,Pleural effusion
689,Pneumonia
690,Pneumonia aspiration
691,Pneumonia staphylococcal
692,Pneumonitis
693,Pollakiuria
694,Polycythaemia
695,Polyuria
696,Poor quality sleep
697,Post procedural discomfort
698,Post procedural haemorrhage
699,Posterior reversible encephalopathy syndrome
700,Postmature baby
701,Pregnancy
702,Pregnancy with contraceptive device
703,Premature baby
704,Presyncope
705,Proctalgia
706,Product adhesion issue
707,Product compounding quality issue
708,Product packaging quantity issue
709,Product physical issue
710,Product quality issue
711,Product use issue
712,Productive cough
713,Prostate cancer
714,Prostatic haemorrhage
715,Prostatic specific antigen increased
716,Pruritus
717,Pseudolymphoma
718,Psoriasis
719,Psychological trauma
720,Psychomotor hyperactivity
721,Psychotic behaviour
722,Psychotic disorder
723,Pulmonary alveolar haemorrhage
724,Pulmonary arterial hypertension
725,Pulmonary congestion
726,Pulmonary embolism
727,Pulmonary function test decreased
728,Pulmonary haemorrhage
729,Pulmonary oedema
730,Pulmonary valve stenosis congenital
731,Pulmonary veno-occlusive disease
732,Pulse abnormal
733,Purulent discharge
734,Pyelonephritis
735,Pyrexia
736,Quadriplegia
737,Quality of life decreased
738,Radiation pneumonitis
739,Radiation skin injury
740,Rash
741,Rash erythematous
742,Rash generalised
743,Rash papular
744,Rash pruritic
745,Reaction to drug excipients
746,Rectal haemorrhage
747,Rectocele
748,Red blood cell count decreased
749,Reflux laryngitis
750,Renal cyst
751,Renal failure
752,Renal failure acute
753,Renal failure chronic
754,Renal function test abnormal
755,Renal impairment
756,Repetitive speech
757,Respiratory arrest
758,Respiratory disorder
759,Respiratory distress
760,Respiratory failure
761,Respiratory tract congestion
762,Respiratory tract infection
763,Restlessness
764,Retinal vascular disorder
765,Rhabdomyolysis
766,Rheumatoid arthritis
767,Rheumatoid factor increased
768,Rhinalgia
769,Rhinorrhoea
770,Rib fracture
771,Right ventricular failure
772,Road traffic accident
773,Rosacea
774,Salivary hypersecretion
775,Scab
776,Scar
777,Schizoaffective disorder bipolar type
778,Seasonal allergy
779,Seborrhoeic keratosis
780,Second primary malignancy
781,Sedation
782,Seizure
783,Seizure like phenomena
784,Sensation of foreign body
785,Sensitivity of teeth
786,Sepsis
787,Sexual dysfunction
788,Sinus congestion
789,Sinus disorder
790,Sinus tachycardia
791,Sinusitis
792,Skin atrophy
793,Skin burning sensation
794,Skin cancer
795,Skin discolouration
796,Skin disorder
797,Skin exfoliation
798,Skin fissures
799,Skin irritation
800,Skin lesion
801,Skin necrosis
802,Skin reaction
803,Skin sensitisation
804,Skin toxicity
805,Sleep disorder
806,Smear cervix abnormal
807,Sneezing
808,Somnolence
809,Sopor
810,Speech disorder
811,Spinal column stenosis
812,Spinal disorder
813,Splenectomy
814,Splenomegaly
815,Squamous cell carcinoma of skin
816,Staphylococcal infection
817,Status epilepticus
818,Stem cell transplant
819,Stent placement
820,Stevens-Johnson syndrome
821,Stomatitis
822,Stress
823,Subarachnoid haemorrhage
824,Subclavian vein thrombosis
825,Subcutaneous haematoma
826,Subdural haematoma
827,Suicidal behaviour
828,Suicidal ideation
829,Suicide attempt
830,Surgery
831,Swelling
832,Swollen tongue
833,Syncope
834,T-lymphocyte count decreased
835,Tachycardia
836,Tardive dyskinesia
837,Teeth brittle
838,Testicular swelling
839,Testicular torsion
840,Therapeutic response decreased
841,Therapeutic response unexpected
842,Therapy change
843,Thermal burn
844,Thinking abnormal
845,Thirst
846,Thought withdrawal
847,Throat irritation
848,Thrombocytopenia
849,Thrombosis
850,Thrombotic microangiopathy
851,Tinnitus
852,Tongue disorder
853,Tongue injury
854,Tonsillar hypertrophy
855,Tonsillectomy
856,Tonsillitis
857,Tooth development disorder
858,Tooth disorder
859,Tooth extraction
860,Tooth fracture
861,Tooth infection
862,Tooth loss
863,Toothache
864,Transaminases increased
865,Transfusion
866,Transient ischaemic attack
867,Transplant failure
868,Traumatic haematoma
869,Traumatic liver injury
870,Treatment noncompliance
871,Tremor
872,Tri-iodothyronine uptake increased
873,Trigeminal neuralgia
874,Trismus
875,Tuberculosis of central nervous system
876,Type 2 diabetes mellitus
877,Type IV hypersensitivity reaction
878,Umbilical hernia
879,Underdose
880,Unevaluable event
881,Unintended pregnancy
882,Urinary incontinence
883,Urinary tract infection
884,Urinary tract infection bacterial
885,Urinary tract obstruction
886,Urticaria
887,Uterine haemorrhage
888,Uterine leiomyoma
889,Uterine perforation
890,Vaginal haemorrhage
891,Vasculitis
892,Vein disorder
893,Venoocclusive disease
894,Ventricular tachycardia
895,Vertigo
896,Violence-related symptom
897,Vision blurred
898,Visual acuity reduced
899,Visual impairment
900,Vitamin D decreased
901,Vitreous floaters
902,Vomiting
903,Weight decreased
904,Weight fluctuation
905,Weight increased
906,Weight loss poor
907,Wheelchair user
908,Wheezing
909,White blood cell count abnormal
910,White blood cell count decreased
911,White blood cell count increased
912,Withdrawal syndrome
913,Wound
914,Wound haemorrhage
915,Wrist fracture
916,Wrong technique in drug usage process
917,Wrong technique in product usage process
